url,item_approx_price,Accurate description,price,time_left,seller_name,Communication,time_end,Shipping speed,title,shipping,bid_count,feedback_pr,item_primary_price,review_count,Reasonable shipping cost,item_no,comment
https://www.ebay.ca/itm/225691918100?hash=item348c495f14%3Ag%3AnMsAAOSwz55lDTTx&amdata=enc%3AAQAIAAAA4Cbi4sJANA%2BpUPXpezucyOMaM9f8YEFnBlhj1CX3NU%2BJc%2Bd87SvYGJA3n3xgCb95C%2Be%2BEkhG94%2BrPxPw8IUnmOFC1xCcVUnLfd1eATjguZKfJX%2BKaJDivVRify1SzMJBsKonjGtlzcqgUJ8bOAOYSF6%2F9bTGluuAIf70VJN35AbHG6DDRkiJktNJXmgXUF1BZNxfjb7BFLLbXRJrvirZG0gAj6gUMnl5a4sg%2FtOHs9cARCZlgWT386sqbzLBFnR8OJSgh1FVEpwldkPsoYlPBHy7uea1%2BNnG4wInzazjXWHV%7Ctkp%3ABk9SR-KgteLlYg&LH_BO=1&LH_ItemCondition=1000,23.21,4.9,23.21,,expressio-0,5.0,,5.0,4 in 1 Hot Air Hair Dryer Brush Detachable Styler Negative Ion Scalp Massage,15.01,0,97.9%Positive Feedback,16.99,0,5.0,225691918100,
https://www.ebay.ca/itm/225285784753?hash=item34741444b1%3Ag%3AaAIAAOSwThJkR6Lx&amdata=enc%3AAQAIAAAA4Ar9NR%2BsJ%2BwNhoSboOot6IBqbx4gXFJKCpQMP%2Bi5vZiyR1kwi87tN6JQbD3DXhVsZCE4zxouiv3o6CureBe5icgGeBSrbihke6detRP0o0jDIYcHL1y%2BhEIuX%2FMC5jx7F21BuSPMlAoOvYRycL5y1%2BlBJEW6bRym%2BF5TKWDkJta7kIOiaOrbNMewVygu4c4RKOyzQq2w2xN9XS7P1yakBRGPHl7YRbhHNjS8Yah2SGy2c7Rb92oFH%2FxAhQwLWmJN0GdNmiDH67u%2Bpx9dB25RPcfUbgMi0CtGUq1gMFaQ8Hbo%7Ctkp%3ABk9SR-KgteLlYg&LH_BO=1&LH_ItemCondition=1000,23.07,4.9,23.07,,expressio-0,5.0,,5.0,4 in 1 Hair Dryer Brush Electric Hot Air Comb Multifunction Hair Curler,19.44,0,97.9%Positive Feedback,16.89,0,5.0,225285784753,
https://www.ebay.ca/itm/126111492484?hash=item1d5cd4a984%3Ag%3A5w0AAOSwl9Bkdg6N&amdata=enc%3AAQAIAAAAwLa4xfd5Qd1o%2BxwCY6E3%2BuZ2kAI%2BXkiMbPnvPlEo55Z8tdV5jrpJ2r77OjJ1X876CalP2OIr49pQ2ArfN1AJ7%2Ff0hNUGXf5RLgcrlG9IIaq8hXgUS7hfc0bVSDjhOpkyOtDiOWRu5eH1ouCZZ9o2zK4ABX6LCcLPOEOG3v8nANvosGcMR0t8XahnMnNyD%2FxMgauGEYLN%2B8JXmdoBtE4DTjzU%2F7f40ZB289cq2z%2Be8ZZp4Y8JdGnMlQ5Ru18AhPyf7A%3D%3D%7Ctkp%3ABk9SR-SgteLlYg&LH_BO=1&LH_ItemCondition=1000,327.83,4.9,327.83,,Salon Sales Outlet,5.0,,5.0,GAMA Hair Dryer IQ PERFETTO Professional Hair Dryer Perfect Ultra-Light Black,63.45,0,98.9%Positive Feedback,240.00,0,5.0,126111492484,
https://www.ebay.ca/itm/184654336628?hash=item2afe419274%3Ag%3AJ0UAAOSwXK1gIB84&amdata=enc%3AAQAIAAAA4JoUQs4fokH1mjBvO%2BOuSHKG5OGcgfhOfosBWVmqRfx1tI%2FBLtZl5CdactIB2%2BDExgMOcxeAkwsPCLeBRFdIKgtAKJTFsqXxtWAmYff6R%2B4Xov57EUIrOFYxugLrXrFg60eCUPTQNvnrbxQJKvX8PfkosuEC8ehKTLaEXxeOLwftVZ9m2M1Kawo2zFOyQ%2FnhUS7SvWbbytskcN%2BpkPg0bmDsO4MLMAatoJeQ41GxrK%2FjB7fj1OXu2%2Bp7%2Bkb5zGea1oVcwx3%2B5smKEjqOezsQA8lHLTJydU8mjomK6noPaw96%7Ctkp%3ABk9SR-SgteLlYg&LH_BO=1&LH_ItemCondition=1000,53.57,5.0,53.57,,ELECTRONICS_SQUAD_DEALS,5.0,,5.0,*100% BRAND NEW IN THE BOX* SUNBEAM 1500 WATT WALL MOUNT NICE HAIR DRYER 1626-20,0.0,0,100%Positive Feedback,39.22,0,4.7,184654336628,
https://www.ebay.ca/itm/166235631575?hash=item26b46a6fd7%3Ag%3A8OYAAOSwVNpjGqsZ&amdata=enc%3AAQAIAAAA4Hva3qYtt5L2s4QYFq92jZZhDt5KgCi4TpYj0smDyQk2n5o2dW0F591DCHmF07WOP0BHLmnZQYoilurZnGXUpif2YHIjSEy6Teblc%2FmTsHe2LV%2Be9zNq6Z1HCwYzJ%2B3Ktn2o%2FhAjOxbjM6ofmqNtT6HLovytRLY6d0TCZTJ8iW9qvaJc6DO6mLSiM80dX0upEH49bmHkbDMahh3PR6Zi3awEvJff72PFnkiWhc7CQYLE0rw%2BqkXzLbhPJbHhhAbXTHVF00%2Fp0NSBkZVq6bys%2Bap2hmy9oeL5eV0nDYhFA7PF%7Ctkp%3ABk9SR-SgteLlYg&LH_BO=1&LH_ItemCondition=1000,0,4.8,6.46,,Jueying_6,5.0,,4.8,Hair Diffuser Professional Hair Styling Curl Dryer Diffuser Hairdressing BlowJ0,0.0,0,97.5%Positive Feedback,6.46,0,5.0,166235631575,
https://www.ebay.ca/itm/145351121054?epid=5041570728&hash=item21d79a189e%3Ag%3AnX4AAOSwMJllIfrL&amdata=enc%3AAQAIAAAA4EBpCyjy3zEWUccsgDSQ%2BE75Me9peyfRbdhSXgR7pIwXsh%2Fl9lQDwSfpABSR%2F3mAew6g34uP5kXB7Td%2FSVC3qR5vjz8sBiI4ABwBTdg85Q5GDxzl1N6adOxjeSnISttPUR0fVqQ630yWJAcSpx2Ap8VnBwGh9p62ijqxwrqTEVM%2BCohQ7IoMrdIobp4qCvO%2B9X5i4GUAkwC%2B%2F6J%2FlLdS%2FT6nKQrUrg9pDThkT%2BkKJZE9hNZhwpoIEQIR8OTR0%2B8uRxtoT%2F6r9LmAIx19QoKwg9Nxs5V1eZSwFvSbCdZP%2BGP8%7Ctkp%3ABk9SR-SgteLlYg&LH_BO=1&LH_ItemCondition=1000,77.94,5.0,77.94,,beniprincess,5.0,,5.0,Panasonic EH-KA6B-K Hot Brush Hair Curling Dryer Black AC100-120V/200-240V F/S,0.0,0,98.7%Positive Feedback,57.06,1,5.0,145351121054,
https://www.ebay.ca/itm/175854548443?hash=item28f1bf75db%3Ag%3A9zkAAOSwGf5k1Kdg&amdata=enc%3AAQAIAAAA4J96OtYuPTHwlwc%2BgRcztn5gyvL0MQg4UETU9UngFk6GL8CCYS%2FhUdOtgitQNs9ilO52F3kPCvjYMCGxhRE5n%2FFoNWSiT0uRez%2BPHzHapd7tveThBUZ0mMA8f%2FIJSwc6CvuCiid0qOEjw%2FzDQR8yFbqU1VwZBsldWEkvR5N3Wi2aLdHvwkPEbsu9HvyoJfGT5EJcxQwgx%2FlV0%2F%2BNYsRQurjgydB2TPqPXH3RhQDJ8AE%2BKIxVOjuLDupPLPy0HMDTPAGtInpHW%2BYg7Ej3Moe%2FVJUgPNiijXQiNvfOGqa7E0oq%7Ctkp%3ABk9SR-SgteLlYg&LH_BO=1&LH_ItemCondition=1000,23.19,4.9,23.19,,pro5star,5.0,,5.0,3in1 Portable Hair Blower Dryer Hot Cold Air Blue Light Negative Ion Hairstyling,19.44,0,98.3%Positive Feedback,16.98,0,5.0,175854548443,
https://www.ebay.ca/itm/144169266678?hash=item2191286df6%3Ag%3ArpcAAOSwVzFiSv6J&amdata=enc%3AAQAIAAAAwICtp98ALLJ%2FXvCeME13awNLPEUhcroKWK%2Fe0ymyrQW9QAU2e13nYSkCKW%2BwoZ4kH4o5aagT8wjbQM52tsSt2Aokw7iIUZ5hivrJsxwSJtjqwP1phlyLQHiErTtePNz57SsG3pTGQALCYOh2cFkV7RL1T6KafpglZpRpjOTXjWRWPEc2EpdOb%2BWamuvKjzrSJIYiQmfQFsZZTIlgpoLdPG4Hbz3qIGbax%2BCgE42REPjLpOg9s9PB0at7pzXxvbIbMA%3D%3D%7Ctkp%3ABk9SR-SgteLlYg&LH_BO=1&LH_ItemCondition=1000,8.77,4.9,8.77,,willbefine123,5.0,,5.0,1pc defond ARG-1215 hair dryer switch 3gears high-power toggle-type hot and cold,0.0,0,99.4%Positive Feedback,6.42,0,5.0,144169266678,
https://www.ebay.ca/itm/134753836148?hash=item1f5ff45c74%3Ag%3AHHMAAOSwMnBlFYyC&amdata=enc%3AAQAIAAAA4Dm4OqVdsUT90ZyuDc%2BJzqaE%2FpC%2B7zoTVYZpl0Kyh%2BoTexkiFgThiZIeP%2F3kqyQO9d66ncm0p36a3B5SPiQdvX1n%2Bg2puvgFiRCEg99TDC6OOwL%2FnujhdkeGs5ZHdyhaCtvIxmZTMDLTqqoq3tAq42kbRh0CTCiqI73uMtI9w8s5fAs0MY0LSGrg7VR3RsrWcRLztPUGq4LISj8ybY41hbgX4U6%2B40ew4FPQ2V2FDfCoME3O3vK70GCg6tz0MOj9toaryEofPhaAxeXWxgqcFWiz2t8V2CVW8OyXu8G4lszC%7Ctkp%3ABk9SR-SgteLlYg&LH_BO=1&LH_ItemCondition=1000,31.40,4.9,31.4,,Triad Supplies,5.0,,5.0,Revlon RVDR5251 Smooth Brilliance Hair Dryer,19.64,0,100%Positive Feedback,22.99,0,5.0,134753836148,
https://www.ebay.ca/itm/186110031490?hash=item2b5505b682%3Ag%3AJgcAAOSw%7EvVlIH03&amdata=enc%3AAQAIAAAAwCVdcgXRUhdOloPVCdGJG6XVg%2Fv2kPOeqfkn9tML0RyYysR%2F9eHQRSd4oS8qjnA2xNeWDXxL6W1y0CBLbze2XQhqTpinMCmzoRPbdOK0kj7dLC3uAACa77xBo3dV3OYxu65IvlZlS3Zfd6%2BHfcqoMZj1pxq4bLB8HcdGByF10Q2Ac4DspfNHWp0fHI3RQOjc78CorM3VPpZB9A67QA0zbyCjBTYtrHbHDzYn9E2QDWEN86JnAe6sc2n4v8t9nfuZrQ%3D%3D%7Ctkp%3ABk9SR-SgteLlYg&LH_BO=1&LH_ItemCondition=1000,68.28,5.0,68.28,,Almost Famous Flippers,5.0,,5.0,VTG Vidal Sassoon Professional 1600 Watt Mid-Size Hair Dryer Model VS-509 NOS,51.2,0,100%Positive Feedback,49.99,0,4.9,186110031490,
